"Date","Price","Open","High","Low","Vol.","Change %"
"09-04-2024","17.36","18.10","18.18","17.26","4.37M","-4.09%"
"08-04-2024","18.11","17.92","18.67","17.55","5.05M","1.01%"
"07-04-2024","17.92","17.56","17.94","17.51","2.58M","2.05%"
"06-04-2024","17.56","17.33","17.66","17.26","2.38M","1.39%"
"05-04-2024","17.32","17.79","17.79","16.87","4.21M","-2.66%"
"04-04-2024","17.80","17.68","18.26","17.40","4.17M","0.64%"
"03-04-2024","17.68","17.95","18.31","17.39","4.79M","-1.45%"
"02-04-2024","17.95","18.37","18.48","17.42","8.40M","-2.32%"
"01-04-2024","18.37","19.17","19.28","17.87","5.12M","-4.14%"
"31-03-2024","19.17","18.94","19.35","18.88","2.59M","1.22%"
"30-03-2024","18.94","18.97","19.29","18.79","3.20M","-0.20%"
"29-03-2024","18.97","19.14","19.29","18.75","3.74M","-0.88%"
"28-03-2024","19.14","19.29","19.79","19.05","4.38M","-0.78%"
"27-03-2024","19.29","20.01","20.18","19.02","5.83M","-3.57%"
"26-03-2024","20.01","19.38","20.73","19.34","6.54M","3.21%"
"25-03-2024","19.38","18.52","19.48","18.38","4.76M","4.64%"
"24-03-2024","18.52","18.06","18.62","17.98","3.06M","2.59%"
"23-03-2024","18.06","18.36","18.47","17.91","3.72M","-1.63%"
"22-03-2024","18.36","18.45","18.58","17.34","6.02M","-0.49%"
"21-03-2024","18.45","18.41","18.91","17.89","6.71M","0.19%"
"20-03-2024","18.41","16.82","18.49","16.28","10.75M","9.49%"
"19-03-2024","16.82","18.30","18.44","16.51","13.45M","-8.09%"
"18-03-2024","18.30","18.67","19.49","18.06","8.98M","-2.01%"
"17-03-2024","18.67","18.11","18.82","17.42","6.98M","3.04%"
"16-03-2024","18.12","19.63","19.82","17.84","8.22M","-7.68%"
"15-03-2024","19.63","20.88","20.99","18.57","12.16M","-6.02%"
"14-03-2024","20.88","20.75","21.95","19.97","14.66M","0.62%"
"13-03-2024","20.75","20.70","20.96","20.22","6.64M","0.26%"
"12-03-2024","20.70","21.27","21.34","19.67","10.63M","-2.70%"
"11-03-2024","21.27","21.77","22.72","20.83","14.82M","-2.32%"
"10-03-2024","21.78","19.98","21.95","19.41","7.83M","9.02%"
"09-03-2024","19.98","19.70","20.32","19.67","5.05M","1.44%"
"08-03-2024","19.69","20.09","20.39","19.25","7.00M","-1.98%"
"07-03-2024","20.09","20.07","20.38","19.61","6.19M","0.09%"
"06-03-2024","20.07","18.99","20.15","18.40","8.77M","5.69%"
"05-03-2024","18.99","20.42","21.01","17.13","15.66M","-6.92%"
"04-03-2024","20.41","20.50","20.88","19.84","8.04M","-0.44%"
"03-03-2024","20.50","21.40","21.52","19.67","7.08M","-4.25%"
"02-03-2024","21.40","20.05","21.67","19.97","9.24M","6.74%"
"01-03-2024","20.05","19.27","20.09","19.27","5.49M","4.09%"
"29-02-2024","19.27","19.44","20.45","18.81","9.94M","-0.90%"
"28-02-2024","19.44","19.02","20.71","18.17","14.99M","2.22%"
"27-02-2024","19.02","19.09","19.36","18.70","6.03M","-0.40%"
"26-02-2024","19.09","18.72","19.26","18.14","5.39M","2.00%"
"25-02-2024","18.72","18.53","18.85","18.38","2.75M","1.04%"
"24-02-2024","18.53","17.94","18.56","17.77","3.11M","3.30%"
"23-02-2024","17.94","18.12","18.28","17.62","5.95M","-1.04%"
"22-02-2024","18.12","18.60","19.01","18.09","5.33M","-2.55%"
"21-02-2024","18.60","19.28","19.29","18.01","6.12M","-3.53%"
"20-02-2024","19.28","19.83","19.88","18.55","6.87M","-2.77%"
"19-02-2024","19.83","20.11","20.22","19.66","5.08M","-1.38%"
"18-02-2024","20.11","20.03","20.37","19.77","3.68M","0.41%"
"17-02-2024","20.02","19.55","20.26","19.24","4.59M","2.41%"
"16-02-2024","19.55","19.93","20.30","19.21","5.66M","-1.92%"
"15-02-2024","19.93","20.24","20.51","19.67","6.01M","-1.54%"
"14-02-2024","20.24","19.87","20.42","19.72","6.14M","1.88%"
"13-02-2024","19.87","20.46","20.59","19.55","7.39M","-2.88%"
"12-02-2024","20.46","20.14","20.83","19.79","10.10M","1.58%"
"11-02-2024","20.14","19.08","20.67","18.86","9.71M","5.55%"
"10-02-2024","19.08","18.47","19.13","18.01","5.12M","3.34%"
"09-02-2024","18.47","18.21","18.61","18.07","6.83M","1.38%"
"08-02-2024","18.21","18.81","19.27","18.03","7.31M","-3.15%"
"07-02-2024","18.81","18.29","19.07","18.07","7.15M","2.85%"
"06-02-2024","18.28","19.16","19.32","18.28","8.55M","-4.58%"
"05-02-2024","19.16","18.16","19.74","17.83","15.53M","5.52%"
"04-02-2024","18.16","17.66","18.69","17.55","12.03M","2.81%"
"03-02-2024","17.66","17.83","18.12","17.54","12.29M","-0.93%"
"02-02-2024","17.83","17.20","18.88","17.14","29.00M","3.65%"
"01-02-2024","17.20","15.44","17.38","15.16","25.33M","11.44%"
"31-01-2024","15.44","15.47","16.05","15.09","15.70M","-0.22%"
"30-01-2024","15.47","15.01","15.80","14.90","11.17M","3.13%"
"29-01-2024","15.00","14.48","15.08","14.28","9.54M","3.59%"
"28-01-2024","14.48","14.35","14.70","14.21","6.79M","0.94%"
"27-01-2024","14.35","14.19","14.40","14.09","4.11M","1.14%"
"26-01-2024","14.19","13.74","14.29","13.64","7.33M","3.21%"
